CustomerID,Recency,Frequency,Monetary,Cluster,Cluster Name
12346.0,-49,1,77183.6,2,Champions
12347.0,-372,7,4310.0,0,Clients Potentiellement Fidèles
12348.0,-299,4,1797.24,3,Clients Fidèles
12349.0,-356,1,1757.55,0,Clients Potentiellement Fidèles
12350.0,-64,1,334.4,1,Clients Récents
12352.0,-338,8,2506.04,0,Clients Potentiellement Fidèles
12353.0,-170,1,89.0,1,Clients Récents
12354.0,-142,1,1079.4,1,Clients Récents
12355.0,-160,1,459.4,1,Clients Récents
12356.0,-352,3,2811.43,0,Clients Potentiellement Fidèles
12357.0,-341,1,6207.67,0,Clients Potentiellement Fidèles
12358.0,-373,2,1168.06,0,Clients Potentiellement Fidèles
12359.0,-317,4,6372.58,0,Clients Potentiellement Fidèles
12360.0,-322,3,2662.06,0,Clients Potentiellement Fidèles
12361.0,-87,1,189.9,1,Clients Récents
12362.0,-371,10,5226.23,0,Clients Potentiellement Fidèles
12363.0,-265,2,552.0,3,Clients Fidèles
12364.0,-367,4,1313.1,0,Clients Potentiellement Fidèles
12365.0,-83,2,641.38,1,Clients Récents
12367.0,-370,1,168.9,0,Clients Potentiellement Fidèles
12370.0,-323,4,3545.69,0,Clients Potentiellement Fidèles
12371.0,-330,2,1887.96,0,Clients Potentiellement Fidèles
12372.0,-303,3,1298.04,3,Clients Fidèles
12373.0,-63,1,364.6,1,Clients Récents
12374.0,-349,1,742.9300000000001,0,Clients Potentiellement Fidèles
12375.0,-364,2,457.5,0,Clients Potentiellement Fidèles
12377.0,-59,2,1628.12,1,Clients Récents
12378.0,-245,1,4008.62,3,Clients Fidèles
12379.0,-293,2,852.24,3,Clients Fidèles
12380.0,-353,4,2724.81,0,Clients Potentiellement Fidèles
12381.0,-370,5,1845.31,0,Clients Potentiellement Fidèles
12383.0,-190,5,1850.56,3,Clients Fidèles
12384.0,-346,2,585.27,0,Clients Potentiellement Fidèles
12386.0,-37,2,401.9,1,Clients Récents
12388.0,-359,6,2780.66,0,Clients Potentiellement Fidèles
12390.0,-295,1,549.84,3,Clients Fidèles
12391.0,-353,1,460.89,0,Clients Potentiellement Fidèles
12393.0,-302,4,1582.6000000000001,3,Clients Fidèles
12394.0,-311,2,1272.48,3,Clients Fidèles
12395.0,-355,12,3018.63,0,Clients Potentiellement Fidèles
12397.0,-339,2,2409.9,0,Clients Potentiellement Fidèles
12398.0,-329,1,1635.6599999999999,0,Clients Potentiellement Fidèles
12399.0,-255,4,1108.65,3,Clients Fidèles
12401.0,-71,1,84.3,1,Clients Récents
12402.0,-51,1,225.6,1,Clients Récents
12403.0,-325,1,427.7,3,Clients Fidèles
12405.0,-226,1,1710.39,3,Clients Fidèles
12406.0,-352,2,3415.3,0,Clients Potentiellement Fidèles
12407.0,-325,5,1708.1200000000001,0,Clients Potentiellement Fidèles
12408.0,-342,5,2888.55,0,Clients Potentiellement Fidèles
12409.0,-296,3,11072.67,3,Clients Fidèles
12410.0,-66,2,693.3299999999999,1,Clients Récents
12412.0,-300,3,1226.88,3,Clients Fidèles
12413.0,-308,3,758.1,3,Clients Fidèles
12414.0,-157,3,562.41,1,Clients Récents
12415.0,-350,20,124914.53,4,Grands Dépenseurs
12417.0,-371,9,3649.1,0,Clients Potentiellement Fidèles
12418.0,-262,1,668.58,3,Clients Fidèles
12420.0,-311,1,600.39,3,Clients Fidèles
12421.0,-359,4,807.04,0,Clients Potentiellement Fidèles
12422.0,-279,3,803.5600000000001,3,Clients Fidèles
12423.0,-374,8,1859.31,0,Clients Potentiellement Fidèles
12424.0,-212,1,1760.96,3,Clients Fidèles
12425.0,-296,1,777.2,3,Clients Fidèles
12426.0,-180,1,582.73,1,Clients Récents
12427.0,-353,3,825.8,0,Clients Potentiellement Fidèles
